time,mdot
-2.0000000000000000000,	      0.0001
0.0000000000000000000	,     0.0001
0.06014837763776071,  0.0001
0.22354961170491916,  0.0001
0.38693458043602225,  0.0001
0.5486707309447014,   0.0001
0.713725098527523,    0.0001
0.8741429795096878,   0.0001
1.03901599246819, 0.0001
1.2039186763871685, 0.0001
1.3672966742599624, 0.2
1.5307027215388105, 0.39672904511445495
1.6941039556059694, 0.6223883425259658
1.8575170567295356, 1.1679834806913902
2.020960862824227, 2.541384640387747
2.1844253325346212, 4.471876879438753
2.31078334255886, 7.164854878204636
2.407452514463883, 10.368868301628197
2.506008415213712, 14.381459436137973
2.6157237882657434, 18.907632168482422
2.6901181692753227, 22.274866389810768
2.7570959269259045, 25.92046263230175
2.838926322847093, 29.53213109093008
2.913327289420941, 33.07691212498446
3.0025684784119635, 36.253033966695185
3.071397576193215, 39.753128187101254
3.158797683754347, 43.35132662385625
3.248050760449587, 46.84794097124521
3.3372976428021968, 50.1775558413176
3.4413840509801172, 53.11973140238669
3.5306490599353717, 56.9380394797644
3.649612870713698, 60.513933588390174
3.7611441745344516, 63.939967900554166
3.880092923279644, 67.1097895959154
4.013900658518584, 70.41683160332497
4.155137150203644, 73.7726196184042
4.311225904112326, 77.08434162297873
4.47472889611352, 80.05339482201529
4.638203722527689, 82.26310379481511
4.801684540560547, 84.63434680749205
4.965138885929112, 86.29188679079499
5.128597546590915, 88.0657670798266
5.292038282188494, 89.35638763736988
5.455480810292495, 90.69533416806198
5.618921081166187, 91.9734257696037
5.782341070161653, 92.70471793422064
5.945764378613459, 93.5255026417058
6.109188848874984, 94.37760973919484
6.272595062126648, 94.73750785090871
6.4360099059647915, 95.33008657407993
6.599414791433922, 95.6541876686465
6.755389770976626, 95.89855276641305
6.921280508778327, 96.49772348727706
7.091126688622497, 96.94599685711523
7.257501906609134, 97.25805151185352
7.446163127903414, 97.70917200152238
7.614521690070324, 98.09737834836653
7.776686080874935, 98.34949791743537
7.933410260053359, 98.76923241631692
8.101437968687616, 99.13676209092974
8.267656145961126, 99.6645664036851
8.456302567459325, 99.71668439097603
8.619699984151694, 99.83942726408914
8.783099392517867, 100
8.946491830025732, 100
9.109886923098665, 100
9.273282348117233, 100
9.436670138386221, 100
9.600068052997042, 100
9.763461984260259, 100
10, 100
100, 100
