z, rho
13.607728939754429, 0.47085300245703277
14.592645970579122, 0.5220973628106615
15.569086351689306, 0.57191376014796
16.468439481034324, 0.6243377977067259
17.406281031346452, 0.67652827489565
18.34412258165858, 0.7287187520845746
19.28191506093473, 0.781860571265403
20.219793414523842, 0.8333375419603992
21.157598161558987, 0.8862415256432512
22.09543971187111, 0.938432002832176
23.033232191147263, 0.9915738220130044
23.971024670423418, 1.0447156411938328
24.90884168521756, 1.097381789378709
25.846621896734717, 1.1507614440575136
26.78451251808282, 1.2020005792545336
27.769343674594552, 1.2549097880939948
28.801225776100864, 1.307348551094112
29.833007505033592, 1.3617332408958518
30.864911911556256, 1.4137395757178306
31.89686092811163, 1.4648810541835333
32.92875418212611, 1.5171036030945817
33.96071435118966, 1.5680288674712148
34.9928195028595, 1.6161433486899497
36.02500272208657, 1.6627443312852004
37.0572528563627, 1.7080480293460365
38.08968143076965, 1.7498923019817663
39.122199225242014, 1.790006861904943
40.15485084981248, 1.8275268527592903
41.187647456989254, 1.8622360604557389
42.22058904677231, 1.8941344849942885
43.3476057605249, 1.9256109316679169
44.380770400471484, 1.9531850744250838
45.414057718008, 1.9783808622024908
46.44746882838528, 2.00117667359123
47.48098923334269, 2.0218535869070915
48.51468919368173, 2.0390494533889405
49.51086728376228, 2.054316834352787
50.30043252036822, 2.0636802014048756
