time,pos
0.04709918333889718, 14.504366252770275
0.8845016545736026, 14.453523179210057
2.89527308054282, 14.357374540817878
1.839940496068488, 14.560149367011752
4.03563556877865, 14.9027025714199
4.9477944078448015, 15.33559003005556
6.144770636631348, 15.89777831749598
6.9482922978839685, 16.41506906706336
9.119942924800386, 17.578878533045934
10.089808433771518, 18.056750963902974
11.34492850420474, 18.675174109717965
12.25686875740004, 19.10243662527703
13.171213455174717, 19.59157351467865
14.065885424572697, 19.57446552718662
15.29608670572877, 19.55164516226965
16.171523118491756, 19.039542184037163
17.21614499529433, 18.561145147090077
18.058793527429494, 18.64530070736817
19.120902273900242, 18.616899116548772
20.06781626643189, 18.504152524363217
21.064130665776133, 18.22264306748839
22.075090318467467, 18.3180047967455
22.967576429156928, 18.24464737848751
24.14291265672911, 18.249966301344912
25.040426242448163, 18.30598257384863
25.988433164334076, 18.22136069704606
26.998955645283708, 18.305472540149974
28.063906008075534, 18.350195209326333
28.732778772883208, 18.282521023710498
29.293451531619056, 18.310500015179578
30.129761073499502, 18.23153222623638
31.259194268192722, 18.495613103008594
32.092880779622945, 18.34914599714624
32.93399921066214, 18.39392695588816
33.998949573453956, 18.438649625064514
35.007504781565935, 18.472136980479068
36.01846443425727, 18.56749870973618
37.022429339081334, 18.482862260542216
38.08257081271441, 18.40383618203346
38.9177874252406, 18.29674367770728
40.04110021554995, 18.403326148334802
40.99675764291569, 18.51557727921309
42.06192659157838, 18.565924891466043
43.22808221257476, 18.33499620510641
43.95400588967486, 18.295432162482165
45.23732353744801, 18.199472965178057
46.2485017760102, 18.300459637511764
8.087343270894683, 16.92664743920581
